職位名稱,公司名稱,地點,技能需求,聯絡方式
軟體工程師,台積電,台北市,"Java, Python, SQL",hr@台積電.com
數據分析師,鴻海精密,新北市,"R, Python, Tableau",hr@鴻海精密.com
行銷專員,聯發科,台中市,"SEO, SEM, Google Analytics",hr@聯發科.com
財務助理,華碩,台南市,"Excel, SAP, QuickBooks",hr@華碩.com
產品經理,微軟台灣,高雄市,"產品設計, 敏捷開發",hr@微軟台灣.com
專案經理,Google台灣,桃園市,"項目管理, Scrum, Jira",hr@google台灣.com
用戶體驗設計師,Amazon台灣,新竹市,"Figma, UX Research",hr@amazon台灣.com
網頁開發工程師,中華電信,苗栗縣,"HTML, CSS, JavaScript",hr@中華電信.com
資料科學家,國泰金控,彰化縣,"統計分析, 機器學習",hr@國泰金控.com
系統管理員,台灣大哥大,雲林縣,"Linux, 網絡管理",hr@台灣大哥大.com
業務開發專員,遠傳電信,嘉義市,"銷售技巧, CRM",hr@遠傳電信.com
行政助理,統一企業,台東縣,"文書處理, 行政管理",hr@統一企業.com
客服專員,台塑石化,屏東縣,"客戶服務, 沟通能力",hr@台塑石化.com
人力資源專員,大立光,宜蘭縣,"人事管理, 招聘",hr@大立光.com
法律顧問,聯合報,花蓮縣,"法律分析, 合同撰寫",hr@聯合報.com
研究員,中央研究院,南投縣,"研究方法, 數據收集",hr@中央研究院.com
電商運營專員,光寶科技,基隆市,"電商運營, 數據分析",hr@光寶科技.com
社群經營專員,佳能台灣,澎湖縣,社群平台運營,hr@佳能台灣.com
IT支持工程師,宏碁,金門縣,"IT支持, Windows管理",hr@宏碁.com
平面設計師,奇美電子,連江縣,"Photoshop, Illustrator",hr@奇美電子.com
內容編輯,台灣銀行,香港,"內容創作, 校對",hr@台灣銀行.com
市場研究員,裕隆汽車,澳門,"市場分析, 消費者行為",hr@裕隆汽車.com
SEO專家,趨勢科技,新加坡,"SEO策略, 網站優化",hr@趨勢科技.com
移動應用開發工程師,台灣高鐵,東京,"iOS, Android開發",hr@台灣高鐵.com
機器學習工程師,台灣鐵路,首爾,"Python, TensorFlow",hr@台灣鐵路.com
嵌入式系統開發工程師,仁寶電腦,紐約,"嵌入式C, 微控制器",hr@仁寶電腦.com
建築設計師,廣達電腦,倫敦,"建築設計, AutoCAD",hr@廣達電腦.com
教育培訓專員,台北市教育局,柏林,教育訓練策劃,hr@台北市教育局.com
醫療數據分析師,國泰醫院,巴黎,醫療數據分析,hr@國泰醫院.com
供應鏈管理專員,全家便利商店,羅馬,"供應鏈管理, 物流規劃",hr@全家便利商店.com
質量保證工程師,力積電,悉尼,"測試自動化, 產品質量",hr@力積電.com
工業設計師,和碩聯合,墨爾本,"產品設計, 測試",hr@和碩聯合.com
遊戲開發工程師,HTC,多倫多,"Unity, C#",hr@htc.com
區塊鏈工程師,鴻海雲端,洛杉磯,"智能合約, Solidity",hr@鴻海雲端.com
大數據工程師,台灣人工智慧學會,舊金山,"Hadoop, Spark",hr@台灣人工智慧學會.com
物聯網工程師,台灣IBM,芝加哥,"嵌入式系統, IoT協議",hr@台灣ibm.com
醫學研究員,長庚醫院,華盛頓,生物醫學研究,hr@長庚醫院.com
金融分析師,台灣證券交易所,新德里,"財務建模, 投資分析",hr@台灣證券交易所.com
品牌經理,台灣啤酒,曼谷,"品牌策劃, 市場推廣",hr@台灣啤酒.com
物流專員,順豐速運,吉隆坡,"物流規劃, 倉儲管理",hr@順豐速運.com
環境工程師,中鼎工程,雅加達,環境影響評估,hr@中鼎工程.com
商務拓展經理,光電科技研究中心,胡志明市,"商務談判, 市場拓展",hr@光電科技研究中心.com
數據庫管理員,台灣微軟,河內,"SQL, Oracle",hr@台灣微軟.com
網絡安全專家,資策會,加德滿都,"網絡安全, 漏洞分析",hr@資策會.com
動畫設計師,台灣漫畫家協會,雅典,"動畫製作, Maya",hr@台灣漫畫家協會.com
內容策略專家,天下雜誌,開羅,"內容策劃, 文案",hr@天下雜誌.com
語音處理工程師,科學工業園區,德班,"語音識別, 自然語言處理",hr@科學工業園區.com
運營經理,物流產業聯盟,內羅畢,"數據分析, 商業智能",hr@物流產業聯盟.com
測試工程師,聯合報系,拉各斯,"產品測試, 兼容性測試",hr@聯合報系.com
計算機視覺工程師,數位視覺協會,約翰內斯堡,"深度學習, 圖像處理",hr@數位視覺協會.com
